Nome Format,Tipologia,Logistica,Metodo di calcolo,Pricing,Target Ideale,Vibe / Emozione,Sales Hook,Social,Novità ,Ranking,Max Pax,Durata Min,Durata Max,Durata Ideale,Descrizione Breve,Formazione,Note,Link website page,link pdf ita,link ppt ita,Link pdf eng,Link ppt eng
DragonBoat,Sport / Acqua,Outdoor (Lago),Standard,115,"Sportivi, Team numerosi","Sincronia, Forza, Natura",Tutti allo stesso ritmo: la massima espressione della sincronia di squadra sull'acqua.,no,no,2,Illimitato,2,4,3,Gara di velocità  e sincronia su lunghe canoe a 10-20 posti a ritmo di tamburo.,medium,,https://www.teambuilding.it/project/dragon-boat/,https://teambuilding.it/preventivi/schede/ita/DragonBoat - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/DragonBoat - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/DragonBoat - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/DragonBoat - TeamBuilding-it-eng.pptx
Energy For Africa,Sociale / Tech,Indoor,Standard,150,"CSR, Ingegneri","Tecnologia, Cuore, Impatto Sociale",Accendiamo la luce dove serve: tecnologia e solidarietà  si uniscono per cambiare vite.,si,si,4,Illimitato,"1,5","2,5",2,Assemblaggio di kit per l'energia solare che verranno donati a villaggi africani.,High,,https://www.teambuilding.it/project/energy-for-africa/,https://teambuilding.it/preventivi/schede/ita/Energy for Africa - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Energy for Africa - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Energy For Africa - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Energy for Africa - TeamBuilding-it - eng.pptx
Enigma,Avventura / Tech,Outdoor,Standard,80,"Gruppi curiosi, Discovery","Dinamicità, Tecnologia, Sfida","Un sapiente mix di attività per coinvolgere tutti, qualche prova più atletica e qualche prova mentale.",no,no,4,Illimitato,"1,5",3,"2,5","Attività outdoor/indoor per tutti i gusti, ottima per gruppi eterogenei non troppo sportivi.",High,,https://www.teambuilding.it/project/enigma/,https://teambuilding.it/preventivi/schede/ita/Enigma - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Enigma - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Enigma - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Enigma - TeamBuilding-it-eng.pptx
Escape Box,Logica / Enigmi,Indoor,Standard,75,"Problem Solvers, Meeting","Tensione, Logica, Collaborazione",La bomba sta ticchettando: avete il sangue freddo per disinnescarla in tempo?,no,no,5,Illimitato,1,"1,5","1,5","Risoluzione di enigmi logici per aprire una valigetta o disinnescare una ""bomba"".",medium,,https://www.teambuilding.it/project/escape-box/,https://teambuilding.it/preventivi/schede/ita/Escape Box - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Escape Box - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Escape Box - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Escape Box - TeamBuilding-it-eng.pptx
Escape Dinner,Logica / Cena,Durante i pasti,Standard,70,Cene aziendali,"Enigma, Cena, Intrigo",Risolvete l'enigma per guadagnarvi la prossima portata! Cena con ingegno.,no,no,4,Illimitato,"1,5","2,5",2,Enigmi e lucchetti da aprire direttamente al tavolo tra una portata e l'altra.,low,,https://www.teambuilding.it/project/escape-dinner/,https://teambuilding.it/preventivi/schede/ita/Escape Dinner - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Escape Dinner - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Escape Dinner - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Escape Dinner - TeamBuilding-it-eng.pptx
Family Day,Evento / Giochi,Indoor / Outdoor,flat,-,"Famiglie, Aziende inclusive","Gioia, Festa, Inclusione",Aprite le porte alle famiglie: una giornata di festa dove lavoro e vita si incontrano.,no,no,4,Illimitato,4,8,5,"Giornata di giochi, gonfiabili e attività  aperta ai dipendenti e alle loro famiglie.",low,,https://www.teambuilding.it/project/family-day/,https://teambuilding.it/preventivi/schede/ita/Family Day - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Family Day - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Family Day - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Family Day - TeamBuilding-it-eng.pptx
Fashion Show,Creativo / Show,Indoor,Standard,95,"Estroversi, Moda","Glamour, Risate, Passerella",Stilisti per un giorno: create la vostra collezione e sfilate sotto i riflettori.,no,no,3,Illimitato,2,"3,5","2,5",Creazione di abiti con materiali di recupero e vera sfilata di moda finale.,low,,https://www.teambuilding.it/project/fashion-show/,https://teambuilding.it/preventivi/schede/ita/Fashion Show - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Fashion Show - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Fashion Show - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Fashion Show - TeamBuilding-it-eng.pptx
Ferrari Challenge,Guida / Lusso,Outdoor (Pista),Standard,9.20,"Top Management, Clienti VIP","Lusso, Velocità , Esclusività ",Il sogno italiano in pista: domate i cavalli rampanti in un circuito esclusivo.,no,no,2,60,3,6,"4,5",Esperienza di guida in pista su vere auto da corsa Ferrari Challenge.,low,"Preventivo assolutamente indicativo, è per avere una idea del costo, ma serve un preventivo specifico per avere la quotazione corretta.",https://www.teambuilding.it/project/ferrari-challenge/,https://teambuilding.it/preventivi/schede/ita/Ferrari Challenge - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Ferrari Challenge - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Ferrari Challenge - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Ferrari Challenge - TeamBuilding-it-eng.pptx
FlashMob,Danza / Musica,Indoor / Outdoor,Standard,65,"Gruppi numerosi, Estroversi","Energia, Musica, Sorpresa",Un'esplosione di energia a sorpresa che contagerà  e stupirà  tutti i presenti.,no,no,2,Illimitato,1,"1,5","1,5",Preparazione ed esecuzione a sorpresa di una coreografia di gruppo in luogo pubblico.,low,,https://www.teambuilding.it/project/flash-mob/,https://teambuilding.it/preventivi/schede/ita/FlashMob - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/FlashMob - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/FlashMob - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/FlashMob - TeamBuilding-it-eng.pptx
Fluo Beat,Musica / Danza,Indoor (Buio),Standard,60,"Party aziendali, Giovani","Ritmo, Buio, Colore","Luci spente, ritmo acceso: un'esperienza percussiva e visiva fluorescente.",no,no,4,Illimitato,"0,5",3,"1,5","Danza e percussioni al buio utilizzando oggetti, stick e luci fluorescenti.",low,,https://www.teambuilding.it/project/fluobeat/,https://teambuilding.it/preventivi/schede/ita/FluoBeat - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/FluoBeat - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Fluo Beat - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/FluoBeat - TeamBuilding-it-eng.pptx
Forno Solare,Green / Costruzione,Outdoor,Standard,85,"Sostenibilità , Ingegneri","Ecologia, Sole, Ingegno",Sfruttare l'energia del sole per cucinare: ingegno green all'opera.,si,no,3,Illimitato,"1,5","2,5",2,Costruzione di un forno funzionante ad energia solare con materiali semplici.,High,,https://www.teambuilding.it/project/forno-solare/,https://teambuilding.it/preventivi/schede/ita/Forno Solare - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Forno Solare - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Forno Solare - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Solar Oven - TeamBuilding-it-eng.pptx
Go Green,Green / Sociale,Outdoor,Standard,90,"CSR, Volontariato","Utilità , Ambiente, Pulizia",Rimbocchiamoci le maniche per un mondo più pulito e un team più unito.,si,no,3,Illimitato,2,3,"2,5","Attività  di pulizia ambientale (spiagge, parchi) e riqualificazione aree verdi.",High,,https://www.teambuilding.it/project/go-green/,https://teambuilding.it/preventivi/schede/ita/Go Green - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Go Green - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Go Green - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Go Green - TeamBuilding-it-eng.pptx
Green Energy,Costruzione / Green,Indoor,Standard,85,"Sostenibilità , Tech","Energia, Invenzione, Futuro",Generare energia pulita con l'ingegno: la sfida energetica del futuro è nelle vostre mani.,si,si,4,Illimitato,2,3,"2,5",Costruzione di macchine capaci di generare energia pulita in modo creativo.,High,,https://www.teambuilding.it/project/green-energy/,https://teambuilding.it/preventivi/schede/ita/Green Energy - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Green Energy - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Green Energy - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Green Energy - TeamBuilding-it-eng.pptx
Green Grand Prix,RC Cars / Green,Indoor / Outdoor,Standard,75,"Appassionati motori, Green","Velocità , Green, Competizione",Gran Premio a impatto zero: velocità  e divertimento con auto elettriche RC.,no,no,3,Illimitato,"1,5",3,2,Gara di velocità  con auto radiocomandate elettriche su pista allestita.,low,,https://www.teambuilding.it/project/green-gran-prix/,https://teambuilding.it/preventivi/schede/ita/Green Grand Prix Rc - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Green Grand Prix Rc - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Green Grand Prix - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Green Grand Prix Rc - TeamBuilding-it-eng.pptx
Green Tag,Creativo / Green,Indoor,Standard,95,"Design, Green","Natura, Arte, Relax",Portate la natura in ufficio creando opere d'arte viventi con il muschio.,si,si,3,Illimitato,2,3,"2,5",Realizzazione di quadri e pannelli decorativi utilizzando muschio e materiali naturali.,medium,,https://www.teambuilding.it/project/green-tag/,https://teambuilding.it/preventivi/schede/ita/Green tag - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Green tag - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Green Tag - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Green tag - TeamBuilding-it-eng.pptx
Guerrilla Gardening,Green / Sociale,Outdoor,Standard,100,"CSR, Urban","Verde, Riqualificazione, Cura",Un blitz verde per colorare la città  e lasciare un segno positivo e duraturo.,si,no,3,Illimitato,2,5,3,Blitz verde urbano per piantare fiori e riqualificare aiuole abbandonate.,Medium,,https://www.teambuilding.it/project/guerrilla-gardening/,https://teambuilding.it/preventivi/schede/ita/Guerrilla Gardening - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Guerrilla Gardening - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Guerrilla Gardening - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Guerrilla Gardening - TeamBuilding-it-eng.pptx
Guida Sportiva,Guida,Outdoor (Pista),Standard,300,"Amanti guida, Sicurezza","Controllo, Adrenalina, Tecnica","Imparare a controllare la potenza: sicurezza, controllo e performance in pista.",no,no,3,60,4,8,6,Corso di guida sicura e sportiva in pista con istruttori qualificati.,low,,https://www.teambuilding.it/project/guida-sportiva/,https://teambuilding.it/preventivi/schede/ita/Guida Sportiva - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Guida Sportiva - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Guida Sportiva - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Sport Driving - TeamBuilding-it-eng.pptx
Guida Neve/Ghiaccio,Guida,Outdoor (Neve),Standard,700,"Amanti guida, Inverno","Ghiaccio, Controllo, Drift",Sfida il ghiaccio: impara a dominare l'auto nelle condizioni più estreme e scivolose.,no,no,3,60,4,8,6,Corso di guida sicura per imparare a gestire l'auto su neve e ghiaccio.,low,"Preventivo assolutamente indicativo, è per avere una idea del costo, ma serve un preventivo specifico per avere la quotazione corretta.",https://www.teambuilding.it/project/guida-su-neve-e-ghiaccio/,https://teambuilding.it/preventivi/schede/ita/Guida su Neve e ghiaccio - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Guida su Neve e ghiaccio - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Guida Neve/Ghiaccio - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Driving on Snow and Ice - TeamBuilding-it-eng.pptx
Hybrid Treasure Hunt,Tech / Discovery,Outdoor / Remoto,Standard,60,Team ibridi/remoti,"Connessione, Scoperta, Tecnologia",La caccia al tesoro 2.0: connettete chi è in ufficio con chi è in strada in tempo reale.,no,no,3,Illimitato,1,3,2,"Caccia al tesoro mista: una parte del team è in strada, l'altra guida da remoto.",low,"Preventivo assolutamente indicativo, è per avere una idea del costo, ma serve un preventivo specifico per avere la quotazione corretta.",https://www.teambuilding.it/project/hybrid-treasure-hunt/,https://teambuilding.it/preventivi/schede/ita/Hybrid Treasure Hunt - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Hybrid Treasure Hunt - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Hybrid Treasure Hunt - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Hybrid Treasure Hunt - TeamBuilding-it-eng.pptx
Ice Cream Mixology,Culinario,Indoor,Standard,70,"Golosi, Creativi","Freschezza, Gusto, Invenzione",Inventate il gusto dell'estate: chimica e creatività  per il gelato perfetto.,no,no,3,Illimitato,2,3,"2,5",Creazione di gusti di gelato originali e innovativi con ingredienti vari.,low,,https://www.teambuilding.it/project/ice-cream-mixology/,https://teambuilding.it/preventivi/schede/ita/Ice Cream Mixology - TeamBuilding-it .pdf,https://teambuilding.it/preventivi/schede/ita/Ice Cream Mixology - TeamBuilding-it .pptx,https://teambuilding.it/preventivi/schede/eng/Ice Cream Mixology - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Ice Cream Mixology - TeamBuilding-it - eng.pptx
Inside Team,Psicologico / Formativo,Indoor,Standard,80,Team che necessitano empatia,"Emozione, Ascolto, Profondità ",Un viaggio nella mente del team per capire le emozioni che ci guidano ogni giorno.,no,no,4,Illimitato,2,3,"2,5",Viaggio nelle emozioni e nei ricordi del team ispirato al film Inside Out.,High,,https://www.teambuilding.it/project/inside-team/,https://teambuilding.it/preventivi/schede/ita/Inside Team - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Inside Team - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Inside Team - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Inside Team- eng - TeamBuilding -it - eng.pptx
Instabuilding Ai,Social / Foto,Indoor / Outdoor,Standard,85,"Gen-Z, Marketing, Social","Social, Visual, Storytelling",Raccontate la vostra storia aziendale con lo stile immediato degli influencer.,no,no,4,Illimitato,2,3,"2,5",Contest creativo basato sulla produzione di foto e video per Instagram.,medium,,https://www.teambuilding.it/project/insta-building-ai/,https://teambuilding.it/preventivi/schede/ita/INSTAbuilding AI- TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/INSTAbuilding AI- TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Instabuilding Ai - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/INSTAbuilding AI - TeamBuilding -it-eng.pptx
Intelligenza Artificiale,Tech / AI,Indoor,Standard,90,"Innovatori, Visionari","Tech, Futuro, Digital",Umano + AI: la collaborazione definitiva per creare contenuti incredibili in pochi minuti.,no,si,5,Illimitato,1,"2,5",2,"Utilizzo di strumenti AI per creare prodotti, immagini e campagne marketing.",medium,,https://www.teambuilding.it/project/intelligenza-artificiale/,https://teambuilding.it/preventivi/schede/ita/Intelligenza artificiale - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Intelligenza artificiale - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Intelligenza Artificiale - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/AI - TeamBuilding-it - eng.pptx
Kayak,Sport / Acqua,Outdoor (Lago),Standard,90,"Sportivi, Amanti natura","Acqua, Sincronia, Natura",Pagaiare all'unisono immersi nella natura: sport e coordinazione sull'acqua.,no,no,3,100,2,3,"2,5",Escursione o gara a staffetta su kayak (canoe) nel lago o fiume.,medium,,https://www.teambuilding.it/project/kayak/,https://teambuilding.it/preventivi/schede/ita/Kayak - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Kayak - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Kayak - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Kayak - TeamBuilding-it-eng.pptx
Law & Order,Roleplay / Investigativo,Indoor,Standard,60,"Amanti serie TV, Dibattito","Logica, Retorica, Giustizia","In aula di tribunale: arringa, difendi e convinci la giuria con la tua oratoria.",no,si,3,Illimitato,"1,5","2,5",2,Simulazione di un processo legale con analisi delle prove e dibattimento in aula.,medium,,https://www.teambuilding.it/project/laworder/,https://teambuilding.it/preventivi/schede/ita/Law and Order - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Law and Order - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Law & Order - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Law and Order - TeamBuilding-it - eng.pptx
Lego Building,Costruzione,Indoor,Standard,65,"Ingegneri, Creativi, Tutti","Mattoncini, Nostalgia, Progettazione","Tornare bambini per costruire il futuro dell'azienda, mattoncino su mattoncino.",no,no,4,Illimitato,"1,5","2,5",2,"Costruzione di sculture, loghi o progetti complessi con migliaia di mattoncini Lego.",high,,https://www.teambuilding.it/project/lego-building/,https://teambuilding.it/preventivi/schede/ita/Lego Building - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Lego Building - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Lego Building - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Lego Building - TeamBuilding-it-eng.pptx
Legolize,Creativo / AI,Indoor,Standard,60,"Gen-Z, Marketing, Creativi","Ironia, Social, Creatività ",Create vignette virali unendo l'ironia dei LEGO alla potenza dell'AI.,no,si,4,Illimitato,1,2,"1,5",Creazione di vignette ironiche stile LEGO utilizzando l'intelligenza artificiale.,medium,,https://www.teambuilding.it/project/legolize/,https://teambuilding.it/preventivi/schede/ita/legolize - TeamBuilding-it .pdf,https://teambuilding.it/preventivi/schede/ita/legolize - TeamBuilding-it .pptx,https://teambuilding.it/preventivi/schede/eng/Legolize - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Legolize - TeamBuilding-it - eng.pptx
Leonardo da Vinci,Costruzione,Indoor,Standard,80,"Ingegneri, Storici","Genio, Storia, Meccanica",Mettetevi alla prova con le invenzioni del più grande genio della storia.,no,no,4,Illimitato,2,3,"2,5","Costruzione di macchine basate sui progetti di Leonardo (es. ponti, catapulte).",medium,,https://www.teambuilding.it/project/leonardo-da-vinci/,https://teambuilding.it/preventivi/schede/ita/Leonardo da Vinci - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Leonardo da Vinci - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Leonardo da Vinci - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Leonardo da Vinci - TeamBuilding-it-eng.pptx
LipDub,Video / Musica,Indoor / Outdoor,Standard,70,"Estroversi, Feste aziendali","Musica, Video, Allegria","Un unico piano sequenza, tutto il team, una canzone: azione!",no,no,3,Illimitato,"1,5","2,5",2,Realizzazione di un videoclip musicale in piano sequenza (senza stacchi di camera).,low,,https://www.teambuilding.it/project/lipdub/,https://teambuilding.it/preventivi/schede/ita/LipDub - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/LipDub - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/LipDub - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/LipDub - TeamBuilding-it-eng.pptx
Lipsync Battle,Show,Indoor,Flat,-,"Estroversi, Party Aziendali","Musica, Show, Performance","Non serve saper cantare, basta saper fare show: la battaglia di playback definitiva.",no,si,4,Illimitato,1,"1,5","1,5",Sfida di playback a squadre con costumi e coreografie divertenti.,low,,https://www.teambuilding.it/project/lipsync-battle/,https://teambuilding.it/preventivi/schede/ita/Lip Sync Battle - Teambuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Lip Sync Battle - Teambuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Lipsync Battle - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Lip Sync Battle - Teambuilding-it-eng.pptx
Make Your Sound,Musica / Costruzione,Indoor,Standard,85,"Gruppi creativi, Manualità ","Ritmo, Costruzione, Musica",Costruite i vostri strumenti con materiali di riciclo e create il ritmo del vostro successo.,no,si,4,Illimitato,"1,5","2,5",2,Costruzione di strumenti musicali con materiali di riciclo e concerto finale.,low,,https://www.teambuilding.it/project/make-your-sound/,https://teambuilding.it/preventivi/schede/ita/Make Your Sound - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Make Your Sound - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Make Your Sound - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Make Your Sound - TeamBuilding-it - eng.pptx
Mannequin Challenge,Video / Social,Indoor,Standard,75,"Social, Giovani","Immobilità , Viralità , Divertimento",Il tempo si ferma: create il video virale perfetto congelando l'attimo fuggente.,no,no,3,Illimitato,"0,5","1,5",1,"Creazione di video virali con i partecipanti ""congelati"" in pose statiche.",low,,https://www.teambuilding.it/project/mannequin-challenge/,https://teambuilding.it/preventivi/schede/ita/Mannequin Challenge - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mannequin Challenge - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Mannequin Challenge - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mannequin Challenge - TeamBuilding-it-eng.pptx
Medieval Cart,Costruzione / Gara,Outdoor,Standard,85,"Competitivi, Creativi","Storia, Gara, Costruzione",Indietro nel tempo: costruite la vostra biga romana e lanciatevi nella corsa!,no,no,2,Illimitato,2,"3,5","2,5","Progettazione, costruzione e gara con carretti in stile medievale.",medium,,https://www.teambuilding.it/project/medieval-cart/,https://teambuilding.it/preventivi/schede/ita/Medieval Cart Challenge  - TeamBuilding-it (2).pdf,https://teambuilding.it/preventivi/schede/ita/Medieval Cart Challenge  - TeamBuilding-it (2).pptx,https://teambuilding.it/preventivi/schede/eng/Medieval Cart - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Medieval Cart Challenge  - TeamBuilding-eng.pptx
Mind Hackers,Logica / Mentale,Indoor,Standard,65,"Analitici, Problem Solvers","Cervello, Sfida, Psicologia",Hackerate la vostra mente: sfide cognitive per superare i propri limiti e bias.,no,si,3,Illimitato,1,"1,5","1,5","Sfide mentali su bias cognitivi, memoria, attenzione e pensiero laterale.",medium,,https://www.teambuilding.it/project/mind-hackers/,https://teambuilding.it/preventivi/schede/ita/Mind Hackers - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mind Hackers - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Mind Hackers - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mind Hackers - TeamBuilding-it - eng.pptx
Mission Impossible,Urban Game / Video,Outdoor,Standard,75,"Giovani, Dinamici","Azione, Spionaggio, Città ","La vostra missione, se deciderete di accettarla: una caccia urbana ad alta tensione.",no,no,3,Illimitato,2,"3,5","2,5",Caccia al tesoro urbana con prove video creative da agenti segreti.,medium,,https://www.teambuilding.it/project/mission-impossible/,https://teambuilding.it/preventivi/schede/ita/Mission Impossible - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mission Impossible - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Mission Impossible - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mission Impossible - TeamBuilding-it-eng.pptx
Mission to Mars VR,Tech / VR,Indoor,Standard,95,"Tech, Nerd, Problem Solvers","Realtà  Virtuale, Spazio, Futuro",Risolvete problemi sul Pianeta Rosso collaborando tra realtà  fisica e virtuale.,no,si,4,100,2,3,"2,5",Risoluzione di problemi e missioni su Marte tramite visori di Realtà  Virtuale.,medium,,https://www.teambuilding.it/project/mission-to-mars/,https://teambuilding.it/preventivi/schede/ita/Mission to Mars - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mission to Mars - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Mission to Mars VR - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mission to Mars - TeamBuilding-it - eng.pptx
Mosaico,Creativo,Indoor,Standard,70,"Grandi gruppi, Artistici","Arte, Pazienza, Unione",Tante piccole tessere per formare la grande immagine unitaria della vostra azienda.,no,no,4,Illimitato,"1,5","2,5",2,Creazione dell'immagine aziendale o di un quadro tramite migliaia di tasselli colorati.,low,,https://www.teambuilding.it/project/mosaico/,https://teambuilding.it/preventivi/schede/ita/Mosaico - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mosaico - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Mosaico - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mosaic - TeamBuilding-it-eng.pptx
Movie Game,Quiz / Cinema,Durante i pasti,Flat,-,"Cene Aziendali, Cinefili","Cinema, Quiz, Divertimento",Vi sentite esperti di cinema? Mettetevi alla prova tra citazioni e colonne sonore!,no,no,3,Illimitato,"1,5","2,5",2,Quiz a squadre interattivo sul mondo del cinema con pulsantiere o app.,low,,https://www.teambuilding.it/project/movie-game/,https://teambuilding.it/preventivi/schede/ita/Movie Game - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Movie Game - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Movie Game - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Movie Game - TeamBuilding-it-eng.pptx
Mystery Box,Culinario,Indoor,Standard,100,Appassionati Masterchef,"Adrenalina, Creatività , Gusto","Una scatola misteriosa, ingredienti segreti e la sfida di creare un piatto da chef.",no,si,5,100,2,4,3,Sfida di cucina in stile Masterchef con ingredienti a sorpresa.,low,,https://www.teambuilding.it/project/mystery-box/,https://teambuilding.it/preventivi/schede/ita/Mystery Box - TeamBuilding-it.pdf,https://teambuilding.it/preventivi/schede/ita/Mystery Box - TeamBuilding-it.pptx,https://teambuilding.it/preventivi/schede/eng/Mystery Box - TeamBuilding-it-eng.pdf,https://teambuilding.it/preventivi/schede/eng/Mystery Box - TeamBuilding-it-eng.pptx
